Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)","KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram
3/20/13,68.74,68.86,68.39,68.709,28035344,68.53156511,68.45791119,68.04164146,,,,,53.13121613,,,
3/21/13,68.09,68.25,67.77,67.93,30050784,68.33104341,68.36192733,68.03100894,,,,,45.86960807,,,
3/22/13,68.21,68.64,68.13,68.59,28838416,68.41736227,68.40339509,68.08424619,,,,,51.87135703,,,
3/25/13,68.81,68.96,68.01,68.34,24909760,68.39157485,68.39186871,68.10860369,,,,,49.62678497,,,
3/26/13,68.6,68.73,68.45,68.71,19734752,68.49771657,68.44971076,68.16587953,,,,,52.87681222,0.342432132,,
3/27/13,68.25,68.85,68.14,68.801,22539424,68.59881104,68.51358153,68.2263672,,,,,53.66856113,0.347983543,,
3/28/13,68.81,69.06,68.64,68.97,23669808,68.7225407,68.59656671,68.29718937,,,,,55.17483754,0.361848796,,
4/1/13,69.01,69.09,68.31,68.5,28118832,68.64836046,68.57900913,68.31650467,,,,,50.27916067,0.331095375,,
4/2/13,68.81,69.27,68.77,69.04,29431872,68.77890698,68.66282565,68.38540898,,,,,55.19786766,0.346304571,,
4/3/13,69.08,69.18,68.24,68.41,35131104,68.65593798,68.61685735,68.38775098,,,,,49.09565883,0.304017707,,
4/4/13,68.41,68.6,68.06,68.43,32287360,68.58062532,68.58288329,68.3917747,,,,,49.28732938,0.269017825,,
4/5/13,67.35,67.96,67.19,67.861,55613280,68.34075022,68.45163178,68.34122473,,,,,44.1894863,0.193140222,,
4/8/13,67.88,68.24,67.69,68.22,17898512,68.30050014,68.40951691,68.32967952,,,,,47.85417891,0.160129106,0.268111979,-0.107982873
4/9/13,68.42,68.96,68.09,68.68,30931360,68.4270001,68.45869565,68.36304337,,,,,52.1864954,0.169136019,0.248316787,-0.079180768
4/10/13,68.89,70.17,68.88,70.015,55271264,68.9563334,68.74166008,68.52037258,,,,,62.04259884,0.280760968,0.254805623,0.025955345
4/11/13,69.84,70.15,69.77,69.99,37238272,69.30088893,68.96863097,68.66033709,,,,,61.78574481,0.363022556,0.27644901,0.086573546
4/12/13,69.85,69.99,69.41,69.94,32791328,69.51392595,69.14524352,68.78220975,,,,,61.23968024,0.419346904,0.305028589,0.114318315
4/15/13,69.68,69.79,68.48,68.56,48795792,69.19595064,69.03883561,68.76104692,,,,,48.49924052,0.348611315,0.313745134,0.034866181
4/16/13,68.99,69.55,68.81,69.47,27682576,69.28730042,69.11722914,68.82856626,,,,,55.12855402,0.361811508,0.323358409,0.038453099
4/17/13,68.84,68.889,67.71,68.115,60204800,68.89653362,68.93500566,68.76060757,,,,,45.69624494,0.259939163,0.310674559,-0.050735397
4/18/13,68.33,68.33,66.88,67.169,56798112,68.32068908,68.61391372,68.60902589,,,,,40.48786325,0.101697991,0.268879246,-0.167181255
4/19/13,67.31,68.231,67.2,68.09,43066864,68.24379272,68.51865668,68.55959486,,,,,46.84053047,0.050030998,0.225109596,-0.175078598
4/22/13,68.33,69.04,68.08,68.79,34412096,68.42586181,68.56799183,68.5815382,,,,,51.11198746,0.064821463,0.19305197,-0.128230507
4/23/13,69.2,69.7,68.82,69.45,53078208,68.76724121,68.72835695,68.66424885,,,10.24309436,,54.79978035,0.1283203,0.180105636,-0.051785335
4/24/13,69.26,69.67,69.12,69.42,44500624,68.98482747,68.85411023,68.73622515,,,9.690094522,,54.59817398,0.1742146,0.178927429,-0.004712829
4/25/13,69.63,70.05,69.59,69.79,26437040,69.25321831,69.02427201,68.83658466,,,9.308652239,,56.71334098,0.23770199,0.190682341,0.047019649
4/26/13,69.62,69.77,69.27,69.57,24083904,69.35881221,69.12349528,68.90643374,,,8.534370782,,55.07049826,0.267184111,0.205982695,0.061201416
4/29/13,69.78,70.48,69.76,70.21,31663920,69.64254147,69.32104159,69.03058291,,,10.31778741,,58.80866446,0.338291936,0.232444543,0.105847393
4/30/13,70.29,70.73,70.04,70.72,30146320,70.00169432,69.57539767,69.19147977,68.58183216,,10.9092003,,61.55374996,0.430831777,0.27212199,0.158709787
5/1/13,70.71,70.85,70.25,70.39,28539536,70.13112954,69.72350718,69.30562456,68.6527407,,11.94547527,,58.8221365,0.472099951,0.312117582,0.159982369
5/2/13,70.51,71.43,70.45,71.28,31744160,70.51408636,70.00650588,69.49366031,68.75577048,,15.41347621,,63.523642,0.570049661,0.363703998,0.206345663
5/3/13,71.94,72.34,71.91,72.12,34061648,71.04939091,70.39077753,69.7437879,68.88770105,,19.17849446,,67.31657102,0.707303142,0.432423827,0.274879315
5/6/13,72.25,72.51,72.19,72.4,19244272,71.49959394,70.75609071,69.99676048,69.02543826,,23.42019873,12.89608443,68.49265539,0.829113667,0.511761795,0.317351872
5/7/13,72.5,72.57,72.09,72.36,25838016,71.78639596,71.04771058,70.22183091,69.15620539,,26.42386618,14.51416161,68.11556637,0.911909792,0.591791394,0.320118398
5/8/13,72.31,72.77,72.2,72.71,24257984,72.09426397,71.34994502,70.4587994,69.29556988,,30.65323246,16.6104754,69.68812007,0.994306645,0.672294444,0.3220122
5/9/13,72.55,73.099,72.47,72.6065,29344432,72.26500932,71.57840956,70.66334231,69.42541028,,34.99415957,19.17902614,68.6104788,1.039275043,0.745690564,0.293584479
5/10/13,72.73,73.08,72.63,73.05,20663680,72.52667288,71.84597146,70.89064304,69.56755105,,39.38394188,22.26398325,70.70123206,1.098042021,0.816160856,0.281881166
5/13/13,72.93,73.32,72.86,73.14,29730016,72.73111525,72.08124938,71.10486752,69.70764709,,43.29565794,25.5617703,71.12159542,1.138750714,0.880678827,0.258071886
5/14/13,73.13,73.74,73.13,73.52,36017632,72.99407683,72.3428404,71.33488013,69.85715112,,46.65341328,29.1361916,72.89018791,1.187981162,0.942139294,0.245841868
5/15/13,73.38,73.74,73.2,73.67,27214320,73.21938456,72.58414214,71.5572725,70.00667461,,51.25975805,33.06761988,73.57806608,1.224979592,0.998707354,0.226272238
5/16/13,73.77,74.095,73.55,73.59,27253360,73.34292304,72.76702539,71.7508656,70.14719717,,54.87062766,37.01333502,72.52116773,1.233625318,1.045690946,0.187934371
5/17/13,73.95,74.33,73.7301,74.3,31117104,73.66194869,73.04574805,71.9936403,70.31005219,,58.42600947,40.93808652,75.83831742,1.282978803,1.093148518,0.189830285
5/20/13,74.09,74.425,73.89,74.19,25135776,73.83796579,73.25379386,72.20281742,70.462207,,60.35076184,44.63114283,74.34099886,1.298250293,1.134168873,0.164081421
5/21/13,74.18,74.54,73.89,74.27,25899968,73.9819772,73.43855861,72.39969195,70.61153222,,62.09211337,48.19796755,74.73173442,1.301802028,1.167695504,0.134106524
5/22/13,74.36,74.95,73.24,73.619,59843168,73.8609848,73.47136614,72.51581652,70.72947213,,62.49978373,51.38262268,65.93297309,1.237817751,1.181719953,0.056097798
5/23/13,72.95,73.7,72.83,73.45,48229440,73.72398987,73.46748138,72.60478638,70.8361595,,61.97443212,54.08064994,63.83188368,1.160099953,1.177395953,-0.017296
